zipcode,price
75006,$145.00
75011.0,$81.00
75006,$95.00
75020,$35.00
75020,$50.00
75012,$75.00
75018.0,$79.00
75015,$89.00
75011.0,$60.00
75018,$66.00
75007,$110.00
75015.0,$66.00
75019.0,$65.00
75011.0,$9.00
75016.0,$110.00
75020.0,$70.00
75010,$125.00
75017.0,$45.00
75010.0,$50.00
75116,$390.00
75018,$120.00
75005,$35.00
75011.0,$107.00
75010.0,$92.00
75016.0,"$3,000.00"
75008.0,$79.00
75010.0,$52.00
75004.0,$130.00
75020,$62.00
75006.0,$60.00
75015.0,$100.00
75011,$60.00
75010.0,$160.00
75013.0,$80.00
75015,$53.00
75020,$45.00
75010,$97.00
75009,$90.00
75004.0,$120.00
75011,$70.00
75001,$133.00
75003.0,$69.00
75019,$66.00
75009,$80.00
75004,$140.00
75018.0,$35.00
75004,$100.00
75020.0,$40.00
75015.0,$59.00
75018.0,$34.00
75015.0,$90.00
75007,$99.00
75017.0,$75.00
75018.0,$43.00
75014,$89.00
75016,$250.00
75001.0,$69.00
75004,$40.00
75005.0,$50.00
75018,$38.00
75018.0,$80.00
75014.0,$200.00
75020,$55.00
75017,$70.00
92110,$100.00
75019,$38.00
75015.0,$60.00
75010.0,$85.00
75007,$149.00
75019,$80.00
75020.0,$130.00
75020,$55.00
75011.0,$70.00
75014.0,$68.00
92130.0,$59.00
75017.0,$26.00
75017,$90.00
75014.0,$57.00
75011.0,$81.00
75018.0,$70.00
75003,$105.00
75008.0,$119.00
75004,$193.00
75010.0,$60.00
75006.0,$69.00
75015.0,$53.00
75015.0,$50.00
75020,$47.00
75011.0,$90.00
75015.0,$43.00
75014.0,$250.00
75005.0,$85.00
75012,$140.00
75004.0,$178.00
75005.0,$100.00
75012.0,$120.00
75012.0,$70.00
75003.0,$53.00
75020.0,$80.00
75018,$95.00
75020.0,$35.00
75020.0,$45.00
75003,$250.00
75011.0,$180.00
75005,$65.00
75010.0,$90.00
75017.0,$87.00
75018.0,$70.00
75018.0,$65.00
75116,$80.00
75011.0,$38.00
75015.0,$125.00
75015,$70.00
75018,$89.00
-- default zip code --,"$1,192.00"
75018.0,$48.00
75004,$145.00
75008.0,$550.00
75009,$90.00
75004.0,$255.00
75005.0,$89.00
75010.0,$150.00
75116.0,$160.00
75010,$210.00
75019.0,$38.00
75001,$244.00
75011.0,$50.00
75010.0,$199.00
75018,$90.00
75009.0,$240.00
75020.0,$32.00
75010,$80.00
75007.0,$190.00
75001,$85.00
75014,$87.00
75018.0,$80.00
75011,$50.00
,$100.00
75011,$70.00
75017,$90.00
75020,$250.00
75005.0,$150.00
94200.0,$75.00
75009,$65.00
75020,$24.00
75009,$98.00
75016.0,$85.00
75001,$140.00
75015,$67.00
75004.0,$50.00
75003.0,$119.00
75018.0,$90.00
75011.0,$89.00
75013.0,$100.00
75011.0,$34.00
75011,$49.00
75015,$70.00
75009.0,$110.00
75010.0,$150.00
75011,$65.00
75017,$75.00
75018,$134.00
75011,$50.00
75015,$140.00
75018.0,$40.00
75008,$350.00
75012,$70.00
75015.0,$90.00
75019.0,$58.00
75011.0,$45.00
75001,$92.00
75020,$41.00
75018,$75.00
75116.0,$130.00
75011,$60.00
75011,$70.00
75020.0,$50.00
75020.0,$28.00
75011.0,$220.00
75010,$49.00
75018.0,$65.00
75007.0,$349.00
75018.0,$100.00
75019.0,$57.00
75014.0,$55.00
75018.0,$140.00
75017,$110.00
75018.0,$59.00
75012.0,$65.00
75004.0,$60.00
75012,$70.00
75018.0,$100.00
93500,$27.00
75003.0,$85.00
75015.0,$95.00
75012.0,$50.00
75019.0,$40.00
75014.0,$59.00
75009,$77.00
75004.0,$49.00
75003.0,$45.00
75015.0,$40.00
75001.0,$95.00
75015,$52.00
75003.0,$80.00
75015,$96.00
75007.0,$28.00
75018,$115.00
75017.0,$28.00
75011.0,$50.00
75010,$55.00
75018.0,$60.00
75018.0,$70.00
75004,$117.00
75011.0,$58.00
75019,$80.00
75007,$100.00
75013,$129.00
75009.0,$35.00
75011.0,$76.00
75009.0,$70.00
75010,$50.00
75014,$50.00
75116,$70.00
75019.0,$130.00
75010.0,$26.00
75015,$69.00
75116.0,$110.00
75020.0,$70.00
75012,$85.00
75019.0,$95.00
75011,$70.00
75018.0,$72.00
75005,$65.00
75116,$50.00
75011.0,$98.00
75015,$13.00
75015,$60.00
75004,$290.00
75005.0,$50.00
75015.0,$61.00
75005.0,$90.00
75007.0,$75.00
75012,$50.00
75018.0,$53.00
75017.0,$109.00
75004,$75.00
75004.0,$80.00
75007.0,$130.00
75003,$115.00
75019,$43.00
75011,$69.00
75009.0,$79.00
75011.0,$94.00
75018,$65.00
75009,$68.00
75006.0,$316.00
75003.0,$100.00
75003.0,$90.00
75013.0,$60.00
75006,$101.00
75003.0,$59.00
75005.0,$115.00
75009,$110.00
75006.0,$126.00
75010.0,$33.00
75010,$70.00
75019.0,$121.00
75019.0,$74.00
75004,$190.00
75011,$30.00
75011.0,$69.00
75010.0,$240.00
75002,$60.00
75013.0,$75.00
75019.0,$60.00
75018,$250.00
75015.0,$50.00
75001.0,$299.00
75017,$30.00
75006,$280.00
75018,$50.00
75011,$101.00
75013.0,$100.00
75011.0,$90.00
75012,$135.00
75015.0,$310.00
75018.0,$125.00
75015.0,$300.00
75007.0,$100.00
75019.0,$28.00
75012.0,$178.00
75013.0,$45.00
75020.0,$45.00
75020,$40.00
75017,$39.00
75002.0,$195.00
75013.0,$40.00
75003,$139.00
75019.0,$35.00
75018,$128.00
75006.0,$300.00
75003,$150.00
75005,$90.00
75015.0,$52.00
75010.0,$55.00
75006.0,$115.00
75020,$40.00
75005,$110.00
75003,"$1,200.00"
75001,$90.00
75011,$80.00
75012.0,$40.00
75019,$100.00
75010.0,$45.00
75003.0,$95.00
75015.0,$75.00
75011,$50.00
75010,$60.00
75014.0,$60.00
75009,$45.00
75001.0,$129.00
75013,$34.00
75018.0,$50.00
75018.0,$50.00
75001,$130.00
75011.0,$63.00
75009.0,$62.00
75006.0,$95.00
75005,$128.00
75005.0,$100.00
75015.0,$60.00
75013.0,$118.00
75015.0,$45.00
75018,$70.00
75003,$90.00
75017,$100.00
75018.0,$40.00
75019,$65.00
75017.0,$60.00
